"","Group_Id","Prolific_Id","Subject_Id","Role_Id","Task_Nr","Trial_Nr","Trial_Id","Input","rt_listener","rt_speaker","condition","category","success","selection1","selection2","selection3","difficulty_answer_listener","difficulty_answer_speaker","easiness_answer_listener","easiness_answer_speaker","need_for_discussion_listener","need_for_discussion_speaker","Completed","Age","Gender","Language","Location","Start_Time","End_Time"
"1","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,1,17,"Furniture",NA,3871,"Concrete","Furniture",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"2","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plants",NA,"Beverages",NA,"Animals",TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"3","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,2,6,"Relationships",NA,15445,"Abstract","Relationship",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"4","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,3,5,"Amount",NA,150683,"Abstract","Quantity",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"5","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,4,9,"Sports",NA,26022,"Abstract","Sport",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"6","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,5,4,"Professions",NA,24070,"Abstract","Profession",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"7","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,6,2,"Crafts",NA,30594,"Abstract","Craft",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"8","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,7,16,"Fruits",NA,8536,"Concrete","Fruit",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"9","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,8,10,"time",NA,5506,"Abstract","Time",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"10","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,9,8,"shapes",NA,3298,"Abstract","Shape",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"11","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,10,12,"Buildings",NA,26053,"Concrete","Building",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"12","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,11,3,"emotions",NA,34542,"Abstract","Emotion",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"13","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,12,13,"Clothing",NA,28042,"Concrete","Clothing",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"14","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,13,15,"Food",NA,71550,"Concrete","Food",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"15","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,14,11,"animals",NA,4337,"Concrete","Animal",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"16","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,15,19,"tools",NA,3759,"Concrete","Tool",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"17","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,16,1,"Communication",NA,55048,"Abstract","Communication",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"18","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,17,20,"Vehicles",NA,35958,"Concrete","Vehicle",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"19","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,18,7,"Religion",NA,2825,"Abstract","Religion",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"20","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,19,14,"Beverages",NA,33747,"Concrete","Drink",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"21","tintcrj","65e0fc6b883b6a493d50e0a5",5,1,3,20,18,"Plants",NA,21638,"Concrete","Plant",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,28,"female","en","US",2025-03-07 15:54:22.724,2025-03-07 16:28:01.539
"22","tintcrj","67b96ecf0e4475435cbb8439",6,2,3,1,17,"Furniture",16807,NA,"Concrete","Furniture",TRUE,"target1","target2","target3",NA,NA,NA,NA,NA,NA,TRUE,25,"male","en","US",2025-03-07 16:03:05.869,2025-03-07 16:29:32.359
"23","tintcrj","67b96ecf0e4475435cbb8439",6,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"every one",NA,"na",NA,TRUE,25,"male","en","US",2025-03-07 16:03:05.869,2025-03-07 16:29:32.359
"24","tintcrj","67b96ecf0e4475435cbb8439",6,2,3,2,6,"Relationships",10118,NA,"Abstract","Relationship",FALSE,"target1","target3","distractor2",NA,NA,NA,NA,NA,NA,TRUE,25,"male","en","US",2025-03-07 16:03:05.869,2025-03-07 16:29:32.359
"25","tintcrj","67b96ecf0e4475435cbb8439",6,2,3,3,5,"Amount",14616,NA,"Abstract","Quantity",FALSE,"target1","distractor1","distractor2",NA,NA,NA,NA,NA,NA,TRUE,25,"male","en","US",2025-03-07 16:03:05.869,2025-03-07 16:29:32.359
"26","tintcrj","67b96ecf0e4475435cbb8439",6,2,3,4,9,"Sports",16966,NA,"Abstract","Sport",TRUE,"target3","target1","target2",NA,NA,NA,NA,NA,NA,TRUE,25,"male","en","US",2025-03-07 16:03:05.869,2025-03-07 16:29:32.359
"27","tintcrj","67b96ecf0e4475435cbb8439",6,2,3,5,4,"Professions",6673,NA,"Abstract","Profession",TRUE,"target1","target2","target3",NA,NA,NA,NA,NA,NA,TRUE,25,"male","en","US",2025-03-07 16:03:05.869,2025-03-07 16:29:32.359
